user_id,funnel_step,timestamp,device
3695,edit,2020-01-04 22:44:44,desktop
10204,live,2020-01-05 00:22:50,desktop
10399,live,2020-01-05 04:45:55,desktop
7536,edit,2020-01-05 03:10:15,desktop
6578,edit,2020-01-04 22:40:19,desktop
801,create,2020-01-04 23:14:42,desktop
4416,registration,2020-01-05 01:05:31,mobile
10501,edit,2020-01-05 00:53:17,desktop
1037,create,2020-01-05 06:10:27,desktop
6224,registration,2020-01-05 01:56:38,mobile
6664,registration,2020-01-05 03:42:35,mobile
7110,live,2020-01-04 21:36:30,desktop
3267,registration,2020-01-04 22:48:52,desktop
5158,registration,2020-01-04 22:02:47,desktop
10668,live,2020-01-05 02:21:44,desktop
4492,registration,2020-01-05 01:26:32,mobile
4755,create,2020-01-04 20:41:26,desktop
8579,edit,2020-01-04 19:29:59,desktop
10364,create,2020-01-05 01:15:47,mobile
10639,edit,2020-01-04 20:28:19,desktop
6502,create,2020-01-05 04:38:35,desktop
3940,registration,2020-01-05 02:45:38,desktop
9116,edit,2020-01-05 00:49:36,desktop
22,registration,2020-01-04 22:38:08,desktop
8569,live,2020-01-05 00:12:12,desktop
9146,live,2020-01-05 00:17:03,desktop
4969,create,2020-01-05 00:01:33,mobile
3034,registration,2020-01-05 04:14:56,desktop
8292,create,2020-01-05 03:14:08,desktop
10063,edit,2020-01-05 00:57:28,mobile
9805,edit,2020-01-05 02:35:51,desktop
1518,edit,2020-01-04 18:57:58,desktop
4787,registration,2020-01-04 21:41:49,desktop
7,create,2020-01-04 22:10:41,desktop
10058,edit,2020-01-04 19:44:02,desktop
9793,create,2020-01-05 03:08:26,desktop
3285,create,2020-01-04 23:13:57,desktop
3279,edit,2020-01-04 21:37:55,desktop
5783,create,2020-01-04 22:49:17,desktop
1600,edit,2020-01-04 22:24:23,desktop
7513,live,2020-01-04 23:05:32,desktop
2286,create,2020-01-04 21:56:01,desktop
9033,create,2020-01-04 20:32:45,mobile
5442,registration,2020-01-05 01:15:29,desktop
3478,create,2020-01-04 23:30:09,desktop
6056,live,2020-01-04 21:47:08,desktop
8660,live,2020-01-05 02:00:43,desktop
8132,edit,2020-01-04 23:07:53,desktop
2623,edit,2020-01-04 23:40:31,desktop
3792,create,2020-01-04 23:08:23,desktop
7586,registration,2020-01-04 23:05:28,desktop
824,create,2020-01-05 02:25:33,desktop
4716,registration,2020-01-05 02:26:50,desktop
8403,registration,2020-01-05 00:15:36,desktop
9816,create,2020-01-05 01:28:43,desktop
9905,registration,2020-01-05 00:05:27,desktop
1884,registration,2020-01-04 18:32:21,desktop
1654,registration,2020-01-04 23:41:43,desktop
2490,live,2020-01-05 01:29:52,desktop
282,registration,2020-01-04 23:21:39,desktop
9278,edit,2020-01-05 00:27:53,mobile
8905,edit,2020-01-05 01:21:48,desktop
10929,edit,2020-01-04 18:34:01,desktop
527,live,2020-01-04 22:21:32,desktop
11075,registration,2020-01-04 21:23:12,desktop
3965,registration,2020-01-05 00:20:52,desktop
2572,live,2020-01-05 01:01:41,desktop
6432,registration,2020-01-05 04:15:47,desktop
1696,edit,2020-01-04 22:40:09,desktop
273,edit,2020-01-04 19:56:23,desktop
1700,registration,2020-01-05 03:55:07,desktop
816,create,2020-01-05 01:30:25,desktop
3924,registration,2020-01-05 02:11:59,desktop
2639,live,2020-01-04 23:44:53,desktop
7193,edit,2020-01-05 01:21:33,desktop
10293,edit,2020-01-04 22:04:05,desktop
8871,registration,2020-01-05 04:51:20,desktop
5531,create,2020-01-05 05:39:28,mobile
671,create,2020-01-04 23:00:36,desktop
11218,create,2020-01-04 23:38:45,mobile
2295,live,2020-01-05 00:06:23,desktop
10298,create,2020-01-04 18:23:36,desktop
6552,create,2020-01-05 01:21:04,desktop
10290,create,2020-01-04 17:57:35,desktop
4004,live,2020-01-05 05:49:49,desktop
9660,edit,2020-01-04 20:14:26,desktop
5852,live,2020-01-05 00:19:13,desktop
